range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,scharger,guzzler,fueltype2,atvtype,ghgscorea,rangea,evmotor
0,0.0,0.0,0,0.0,CRX,12,17,0.0,-1,N,28.4,21,N,15.0483,2022,Charger SRT Widebody,Premium,6.2,0.0,0.0,8,592,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,20.5036,0,0,0.0,2,0.0,Charger,0,19.834,4500,105,2,592.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,45083,Automatic 8-spd,0.0,-13000,0,15.1,Large Cars,2022-01-19,12.3581,0.0,2022-12-21,0.0,0.0,15,0.0,0.0,0,0,22,0,0,0.0,,,S,G,,,,,
0,0.0,0.0,0,0.0,CRX,13,0,0.0,-1,N,26.5492,19,N,15.1196,2023,Durango SRT AWD,Premium,6.4,0.0,0.0,8,584,0.0,false,All-Wheel Drive,0.0,0,Dodge,19.2495,0,0,0.0,2,0.0,Durango,0,19.834,4500,0,2,584.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,46240,Automatic 8-spd,0.0,-13000,0,15.7498,Standard Sport Utility Vehicle 4WD,2022-11-30,12.8619,0.0,2023-03-01,0.0,0.0,15,0.0,0.0,0,0,519,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,30.1,22,N,16.6887,2020,Durango AWD,Midgrade,5.7,0.0,0.0,8,533,0.0,false,All-Wheel Drive,0.0,0,Dodge,21.6461,0,0,0.0,3,0.0,Durango,0,17.500588235294117,3650,0,3,533.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,0,41779,Automatic 8-spd,0.0,-8750,0,17.3,Standard Sport Utility Vehicle 4WD,2019-08-12,14.0551,0.0,2020-04-14,0.0,0.0,17,0.0,0.0,0,0,522,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,15,0,0.0,-1,N,34.2974,24,N,17.9386,2022,Challenger,Premium,6.4,0.0,0.0,8,495,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,24.4293,0,0,0.0,3,0.0,Challenger,0,16.528333333333336,3750,0,3,495.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,45068,Automatic 8-spd,0.0,-9250,0,18.1912,Midsize Cars,2022-01-19,14.7354,0.0,2022-12-21,0.0,0.0,18,0.0,0.0,0,0,12,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,Y,36.3997,26,Y,21.4537,2020,Durango RWD,Regular,3.6,0.0,0.0,6,414,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,25.8035,0,0,0.0,4,0.0,Durango,0,14.167142857142858,2550,0,4,414.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41770,Automatic 8-spd,0.0,-3250,0,23.6996,Standard Sport Utility Vehicle 2WD,2019-08-12,18.8533,0.0,2020-04-14,0.0,0.0,21,0.0,0.0,0,0,523,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,13,0,0.0,-1,N,26.5492,19,N,15.1196,2020,Durango SRT AWD,Premium,6.4,0.0,0.0,8,584,0.0,false,All-Wheel Drive,0.0,0,Dodge,19.2495,0,0,0.0,2,0.0,Durango,0,19.834,4500,0,2,584.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,41971,Automatic 8-spd,0.0,-13000,0,15.7498,Standard Sport Utility Vehicle 4WD,2019-08-29,12.8619,0.0,2020-04-14,0.0,0.0,15,0.0,0.0,0,0,525,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,15,17,0.0,-1,N,34.2543,24,N,17.8962,2021,Charger Widebody,Premium,6.4,0.0,0.0,8,496,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,24.401,0,0,0.0,3,0.0,Charger,0,16.528333333333336,3750,105,3,496.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,43455,Automatic 8-spd,0.0,-9250,0,18.1339,Large Cars,2020-11-10,14.6918,0.0,2021-07-12,0.0,0.0,18,0.0,0.0,0,0,11,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,15,17,0.0,-1,N,34.2974,24,N,17.9386,2022,Charger Widebody,Premium,6.4,0.0,0.0,8,495,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,24.4293,0,0,0.0,3,0.0,Charger,0,16.528333333333336,3750,105,3,495.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,45084,Automatic 8-spd,0.0,-9250,0,18.1912,Large Cars,2022-01-19,14.7354,0.0,2022-12-21,0.0,0.0,18,0.0,0.0,0,0,23,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,31.1,22,N,16.9243,2023,Durango RWD,Midgrade,5.7,0.0,0.0,8,525,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.3141,0,0,0.0,3,0.0,Durango,0,17.500588235294117,3650,0,3,525.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,0,45889,Automatic 8-spd,0.0,-8750,0,17.4,Standard Sport Utility Vehicle 2WD,2022-09-12,14.1316,0.0,2023-03-01,0.0,0.0,17,0.0,0.0,0,0,513,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,13,0,0.0,-1,N,28.8,22,N,16.2222,2020,Challenger SRT,Premium,6.2,0.0,0.0,8,546,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.0226,0,0,0.0,2,0.0,Challenger,0,18.594375,4200,0,2,546.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,42319,Automatic 8-spd,0.0,-11500,0,16.1,Midsize Cars,2019-11-27,13.3461,0.0,2020-04-14,0.0,0.0,16,0.0,0.0,0,0,7,0,0,0.0,,Hellcat engine,S,G,,,,,
