range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,atvtype,evmotor,scharger,fueltype2,rangea
0,0.0,0.0,0,0.0,CRX,18,0,0.0,-1,Y,35.4,25,Y,21.0931,2022,Grand Cherokee L 4WD,Regular,3.6,0.0,0.0,6,430,0.0,false,4-Wheel Drive,0.0,0,Jeep,25.1517,0,0,0.0,4,0.0,Grand Cherokee,0,14.167142857142858,2550,0,4,430.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44774,Automatic 8-spd,0.0,-3250,0,23.4,Standard Sport Utility Vehicle 4WD,2021-11-02,18.0,0.0,2021-11-02,0.0,0.0,21,0.0,0.0,0,0,533,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,16,0,0.0,-1,N,31.5,23,Y,18.707,2022,Gladiator 4WD,Regular,3.6,0.0,0.0,6,476,0.0,false,4-Wheel Drive,0.0,0,Jeep,22.5804,0,0,0.0,4,0.0,Gladiator,0,15.65842105263158,2850,0,4,476.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44851,Manual 6-spd,0.0,-4750,0,20.4,Standard Pickup Trucks 4WD,2021-11-16,16.4046,0.0,2022-10-13,0.0,0.0,19,0.0,0.0,0,0,548,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,16,0,0.0,-1,N,31.5,23,Y,18.707,2023,Gladiator 4WD,Regular,3.6,0.0,0.0,6,476,0.0,false,4-Wheel Drive,0.0,0,Jeep,22.5804,0,0,0.0,4,0.0,Gladiator,0,15.65842105263158,2850,0,4,476.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45818,Manual 6-spd,0.0,-4750,0,20.4,Standard Pickup Trucks 4WD,2022-08-30,16.4046,0.0,2022-11-30,0.0,0.0,19,0.0,0.0,0,0,543,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,27.6499,20,Y,16.5018,2024,Grand Wagoneer L 4WD,Premium,3.0,0.0,0.0,6,537,0.0,false,All-Wheel Drive,0.0,0,Jeep,19.9966,0,0,0.0,3,0.0,Grand Wagoneer,0,17.500588235294117,3950,0,3,537.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,47189,Automatic 8-spd,0.0,-10250,0,17.8,Standard Sport Utility Vehicle 4WD,2023-09-19,14.4373,0.0,2024-03-19,0.0,0.0,17,0.0,0.0,0,0,525,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,N,40.999,29,N,23.9283,2020,Renegade 4WD,Regular,2.4,0.0,0.0,4,371,0.0,false,All-Wheel Drive,0.0,0,Jeep,28.7646,0,0,0.0,5,0.0,Renegade,0,12.39625,2250,0,5,371.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42043,Automatic 9-spd,0.0,-1750,0,26.7,Small Sport Utility Vehicle 4WD,2019-09-10,21.0347,0.0,2019-12-18,0.0,0.0,24,0.0,0.0,0,0,512,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,22,0,0.0,-1,N,37.4997,24,Y,22.8165,2021,Wrangler 2dr 4WD,Regular,2.0,0.0,0.0,4,388,0.0,false,4-Wheel Drive,0.0,0,Jeep,24.0029,0,0,0.0,5,0.0,Wrangler,0,12.935217391304349,2350,0,5,388.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42907,Automatic 8-spd,0.0,-2250,0,27.9478,Small Sport Utility Vehicle 4WD,2020-08-11,21.9296,0.0,2020-11-18,0.0,0.0,23,0.0,0.0,0,0,515,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,24,0,0.0,-1,N,45.7495,32,Y,26.9531,2022,Renegade 2WD,Regular,1.3,0.0,0.0,4,329,0.0,false,Front-Wheel Drive,0.0,0,Jeep,31.7598,0,0,0.0,6,0.0,Renegade,0,11.018888888888888,2000,0,6,329.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44853,Automatic 9-spd,0.0,-500,0,30.8499,Small Sport Utility Vehicle 2WD,2021-11-16,23.9833,0.0,2022-12-05,0.0,0.0,27,0.0,0.0,0,0,404,0,0,0.0,T,,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,36.8,26,Y,21.847,2022,Grand Cherokee 2WD,Regular,3.6,0.0,0.0,6,407,0.0,false,Rear-Wheel Drive,0.0,0,Jeep,26.0636,0,0,0.0,5,0.0,Grand Cherokee,0,13.52318181818182,2450,0,5,407.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44856,Automatic 8-spd,0.0,-2750,0,24.3,Standard Sport Utility Vehicle 2WD,2021-11-16,19.2932,0.0,2021-11-16,0.0,0.0,22,0.0,0.0,0,0,538,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,22,0,0.0,-1,N,39.4,28,Y,24.0449,2023,Gladiator EcoDiesel 4WD,Diesel,3.0,0.0,0.0,6,423,0.0,false,4-Wheel Drive,0.0,0,Jeep,27.7421,0,0,0.0,4,0.0,Gladiator,0,14.883125,2350,0,5,423.0,0.0,0.0,0.0,0.0,0.0,0.0,Diesel,0,45815,Automatic 8-spd,0.0,-2250,0,27.6,Standard Pickup Trucks 4WD,2022-08-30,21.6809,0.0,2022-09-07,0.0,0.0,24,0.0,0.0,0,0,539,0,0,0.0,T,,Diesel,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,26.7,19,Y,15.7016,2023,Grand Wagoneer L 4WD,Premium,3.0,0.0,0.0,6,566,0.0,false,All-Wheel Drive,0.0,0,Jeep,18.8246,0,0,0.0,3,0.0,Grand Wagoneer,0,18.594375,4200,0,3,566.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,45846,Automatic 8-spd,0.0,-11500,0,17.0,Standard Sport Utility Vehicle 4WD,2022-08-30,13.8251,0.0,2023-02-14,0.0,0.0,16,0.0,0.0,0,0,504,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,N,42.3,29,Y,24.1812,2023,Cherokee 4WD,Regular,2.4,0.0,0.0,4,370,0.0,false,All-Wheel Drive,0.0,0,Jeep,29.0,0,0,0.0,5,0.0,Cherokee,0,12.39625,2250,0,5,370.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46294,Automatic 9-spd,0.0,-1750,0,26.7,Small Sport Utility Vehicle 4WD,2022-12-12,21.0347,0.0,2023-04-27,0.0,0.0,24,0.0,0.0,0,0,565,0,0,0.0,,,,,,,
